node,run,allocation_time
1,1,8.996948957443237
1,2,8.870342254638672
1,3,9.304151058197021
1,4,9.256883144378662
1,5,9.410228729248047
1,6,9.189661264419556
1,7,9.218502521514893
1,8,9.294675827026367
1,9,9.354983568191528
1,10,9.216391801834106
2,1,9.64707636833191
2,2,8.910645008087158
2,3,9.377361536026001
2,4,9.141874313354492
2,5,9.338843822479248
2,6,9.156530380249023
2,7,9.33500623703003
2,8,9.185622930526733
2,9,9.321915626525879
2,10,9.133556604385376
3,1,9.62579607963562
3,2,8.956416845321655
3,3,9.34929895401001
3,4,9.133822202682495
3,5,9.299949407577515
3,6,9.171294927597046
3,7,9.36848258972168
3,8,9.234322786331177
3,9,9.250643014907837
3,10,9.147820234298706
